Date,Effected Outlet,Product,Type,Quantity,User,Reference Number,Source Outlet,Destination Outlet,Description,Buying Price
"5/21/2025 4:34:47 PM","GUDANG","POTTON SQUARE","Transfer Out from GUDANG to BIANDA SCARF","13.000000","ADMIN GUDANG 1","#T-101282","GUDANG","BIANDA SCARF","Transfer out",""
"2/21/2025 2:38:43 PM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from BIANDA SCARF","13.000000","ADMIN GUDANG 1","#T-098818","GUDANG","GUDANG","Transfer in","9250"
"9/3/2024 2:29:12 PM","GUDANG","POTTON SQUARE","Penyesuaian","-2.000000","Luqman .","#T-091454","GUDANG","","","9250"
"6/9/2023 4:48:15 PM","GUDANG","POTTON SQUARE","Penyesuaian","16.000000","Luqman .","#T-076475","GUDANG","","","9250"
"5/19/2023 1:50:12 PM","GUDANG","POTTON SQUARE","Transfer Out from GUDANG to PWO","50.000000","ADMIN GUDANG 1","#T-076026","GUDANG","PWO","Transfer out",""
"5/16/2023 10:20:13 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from KRS","50.000000","ADMIN GUDANG 1","#T-075805","KRS","GUDANG","Transfer out",""
"4/15/2023 10:53:02 AM","GUDANG","POTTON SQUARE","Transfer Out from GUDANG to KRS","50.000000","ADMIN GUDANG 1","#T-073672","GUDANG","KRS","Transfer out",""
"4/7/2023 9:04:18 AM","GUDANG","POTTON SQUARE","Transfer Out from GUDANG to DEPT. STORE","1.000000","ADMIN GUDANG 1","#T-074698","GUDANG","DEPT. STORE","Transfer out",""
"2/22/2023 8:51:11 AM","GUDANG","POTTON SQUARE","Transfer Out from GUDANG to KDR","49.000000","ADMIN GUDANG 1","#T-073673","GUDANG","KDR","Transfer out",""
"2/15/2023 4:27:02 PM","GUDANG","POTTON SQUARE","Penyesuaian","-19.000000","Luqman .","#T-073584","GUDANG","","","9250"
"12/8/2022 4:31:05 PM","GUDANG","POTTON SQUARE","Transfer Out from GUDANG to BIANDA SCARF","105.000000","ADMIN GUDANG 1","#T-070614","GUDANG","BIANDA SCARF","Transfer out",""
"11/21/2022 1:17:57 PM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from TSM","10.000000","ADMIN GUDANG 1","#T-069738","TSM","GUDANG","Transfer out",""
"10/12/2022 3:00:29 PM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from KRW","10.000000","ADMIN GUDANG 1","#T-064935","KRW","GUDANG","Transfer out",""
"10/7/2022 10:07:36 AM","GUDANG","POTTON SQUARE","Transfer Out from GUDANG to DEPT. STORE","40.000000","ADMIN GUDANG 1","#T-064831","GUDANG","DEPT. STORE","Transfer out",""
"10/5/2022 1:46:43 PM","GUDANG","POTTON SQUARE","Penyesuaian","55.000000","Luqman .","#T-064341","GUDANG","","","9250"
"9/30/2022 11:21:37 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from BTS","42.000000","ADMIN GUDANG 1","#T-062017","BTS","GUDANG","Transfer out",""
"9/10/2022 10:21:28 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from PWS","5.000000","ADMIN GUDANG 1","#T-061332","PWS","GUDANG","Transfer out",""
"9/10/2022 10:21:02 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from BTS","20.000000","ADMIN GUDANG 1","#T-061317","BTS","GUDANG","Transfer out",""
"9/9/2022 11:43:19 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from CJR","57.000000","ADMIN GUDANG 1","#T-061386","CJR","GUDANG","Transfer out",""
"9/6/2022 4:29:34 PM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from BOG","28.000000","ADMIN GUDANG 1","#T-061095","BOG","GUDANG","Transfer out",""
"9/6/2022 9:18:08 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from SBG","25.000000","ADMIN GUDANG 1","#T-061102","SBG","GUDANG","Transfer out",""
"9/5/2022 5:02:36 PM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from SMI","74.000000","ADMIN GUDANG 1","#T-061093","SMI","GUDANG","Transfer out",""
"8/29/2022 10:50:35 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from PLM","1.000000","ADMIN GUDANG 1","#T-061039","PLM","GUDANG","Transfer out",""
"8/29/2022 9:51:30 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from BDS","56.000000","ADMIN GUDANG 1","#T-061119","BDS","GUDANG","Transfer out",""
"6/17/2022 2:37:14 PM","GUDANG","POTTON SQUARE","Transfer Out from GUDANG to SBY","120.000000","ADMIN GUDANG 1","#T-056630","GUDANG","SBY","Transfer out",""
"5/11/2022 1:54:19 AM","GUDANG","POTTON SQUARE","Penyesuaian","-122.000000","Adhita Gumilar","#T-052951","GUDANG","","","9250"
"4/26/2022 9:54:51 AM","GUDANG","POTTON SQUARE","Transfer Receive at GUDANG in a shipping from JBR","1.000000","ADMIN GUDANG 1","#T-051905","JBR","GUDANG","Transfer in",""
