ItemParentID,ItemParentName,ItemID,ItemCode,ItemName,QuantityID,QuantityCode,cqty,qtyori,CQuantityID,CQuantityCode,Stock,StockInPcs,InventoryID,InventoryName,StockRate,PurchasePrice,SellPrice,Currency,GroupName,Size,Color,Weight,Length,Breadth,Height,Remarks
1,DETCH,1,TEN-228072002,T002-ABBA KAFTAN ALL COLOUR ALL SIZE,1,Pcs,1,1,0,Pcs,0,0,0,,0,0,1150000,Rp,DETCH,ALL SIZE,ALL COLOUR,0,0,0,0,-
1,DETCH,2,TEN-223092103,T002-ABBA KAFTAN PUTIH ALL SIZE,2,Pcs,1,1,0,Pcs,0,0,0,,0,0,1150000,Rp,DETCH,ALL SIZE,PUTIH,0,0,0,0,-
1,DETCH,3,TEN-209102001,T002-ABBA KAFTAN PLEATS ALL COLOUR ALL SIZE,3,Pcs,1,1,0,Pcs,0,0,0,,0,0,1150000,Rp,DETCH,ALL SIZE,ALL COLOUR,0,0,0,0,-
1,DETCH,4,TEN-209102002,T002-ABELLA OUTER PLEATS ALL COLOUR ALL SIZE,4,Pcs,1,1,0,Pcs,0,0,0,,0,0,1850000,Rp,DETCH,ALL SIZE,ALL COLOUR,0,0,0,0,-
1,DETCH,5,TEN-209102003,T002-ABILA KAPUCHONG ALL COLOUR ALL SIZE,5,Pcs,1,1,0,Pcs,0,0,0,,0,0,1500000,Rp,DETCH,ALL SIZE,ALL COLOUR,0,0,0,0,-
1,DETCH,6,TEN-T00207032501,T002-ALETTA BLOUSE WHITE ALL SIZE,6,Pcs,1,1,0,Pcs,0,0,0,,0,0,495000,Rp,DETCH,ALL SIZE,WHITE,0,0,0,0,-
1,DETCH,7,TEN-T00207032502,T002-ALETTA BLOUSE BLACK ALL SIZE,7,Pcs,1,1,0,Pcs,0,0,0,,0,0,495000,Rp,DETCH,ALL SIZE,BLACK,0,0,0,0,-
1,DETCH,8,TEN-T002DETSK242200,T002-ALEXA DRESS ALL COLOUR ALL SIZE,8,Pcs,1,1,0,Pcs,0,0,0,,0,0,1150000,Rp,DETCH,ALL SIZE,ALL COLOUR,0,0,0,0,-
1,DETCH,9,TEN-229082302,T002-ALEXA OUTER BABY BLUE ALL SIZE,9,Pcs,1,1,0,Pcs,0,0,0,,0,0,1500000,Rp,DETCH,ALL SIZE,BABY BLUE,0,0,0,0,-
1,DETCH,10,TEN-T002DETDR242303,T002-ALLA DRESS BLACK ALL SIZE,10,Pcs,1,1,0,Pcs,0,0,0,,0,0,950000,Rp,DETCH,ALL SIZE,BLACK,0,0,0,0,-
1,DETCH,11,TEN-T002DETDR242302,T002-ALLA DRESS WHITE ALL SIZE,11,Pcs,1,1,0,Pcs,0,0,0,,0,0,950000,Rp,DETCH,ALL SIZE,WHITE,0,0,0,0,-
1,DETCH,12,TEN-T002DETOT240024,T002-ALLA OUTER ALL COLOUR ALL SIZE,12,Pcs,1,1,0,Pcs,0,0,0,,0,0,1500000,Rp,DETCH,ALL SIZE,ALL COLOUR,0,0,0,0,-
1,DETCH,13,TEN-T002DETOT240924,T002-ALLA VEST ALL COLOUR ALL SIZE,13,Pcs,1,1,0,Pcs,0,0,0,,0,0,750000,Rp,DETCH,ALL SIZE,ALL COLOUR,0,0,0,0,-
1,DETCH,14,TEN-225122001,T002-ALULA DUSTY PINK ALL SIZE,14,Pcs,1,1,0,Pcs,0,0,0,,0,0,1250000,Rp,DETCH,ALL SIZE,DUSTY PINK,0,0,0,0,-
1,DETCH,15,TEN-211012101,T002-ALULA HITAM L,15,Pcs,1,1,0,Pcs,0,0,0,,0,0,1250000,Rp,DETCH,L,HITAM,0,0,0,0,-
1,DETCH,16,TEN-211012102,T002-ALULA DUSTY UNGU M,16,Pcs,1,1,0,Pcs,0,0,0,,0,0,1250000,Rp,DETCH,M,DUSTY UNGU,0,0,0,0,-
1,DETCH,17,TEN-216012101,T002-ALULA DUSTY ALL SIZE,17,Pcs,1,1,0,Pcs,0,0,0,,0,0,1250000,Rp,DETCH,ALL SIZE,DUSTY,0,0,0,0,-
1,DETCH,18,TEN-216012102,T002-ALULA PUTIH ALL SIZE,18,Pcs,1,1,0,Pcs,0,0,0,,0,0,1250000,Rp,DETCH,ALL SIZE,PUTIH,0,0,0,0,-
1,DETCH,19,TEN-217022101,T002-ALULA HITAM ALL SIZE,19,Pcs,1,1,0,Pcs,0,0,0,,0,0,1150000,Rp,DETCH,ALL SIZE,HITAM,0,0,0,0,-
1,DETCH,20,TEN-220022101,T002-ALULA WHITE L,20,Pcs,1,1,0,Pcs,0,0,0,,0,0,1250000,Rp,DETCH,L,WHITE,0,0,0,0,-
