child_sku,parent_sku,nama_blend,season,kategori,ukuran,grind_size,harga_idr,berat_bersih_g,deskripsi_singkat
S-WIN-001-100-WB,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,100g,Whole Bean,35000,100,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-100-CRS,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,100g,Coarse,37000,100,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-100-MED,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,100g,Medium,37500,100,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-100-FIN,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,100g,Fine,38000,100,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-100-XF,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,100g,Extra Fine,38500,100,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-200-WB,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,200g,Whole Bean,62000,200,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-200-CRS,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,200g,Coarse,64000,200,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-200-MED,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,200g,Medium,64500,200,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-200-FIN,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,200g,Fine,65000,200,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-200-XF,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,200g,Extra Fine,65500,200,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-500-WB,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,500g,Whole Bean,140000,500,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-500-CRS,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,500g,Coarse,142000,500,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-500-MED,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,500g,Medium,142500,500,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-500-FIN,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,500g,Fine,143000,500,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-500-XF,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,500g,Extra Fine,143500,500,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-1K-WB,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,1kg,Whole Bean,255000,1000,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-1K-CRS,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,1kg,Coarse,257000,1000,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-1K-MED,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,1kg,Medium,257500,1000,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-001-1K-FIN,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,1kg,Fine,258000,1000,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
