child_sku,parent_sku,nama_blend,season,season_universe,kategori,ukuran,grind_size,harga_idr,berat_bersih_g,deskripsi_singkat
S-WIN-001-100-WB,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-100-CRS,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-100-MED,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-100-FIN,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-100-XF,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-200-WB,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-200-CRS,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-200-MED,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-200-FIN,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-200-XF,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-500-WB,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-500-CRS,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-500-MED,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-500-FIN,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-500-XF,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-1K-WB,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-1K-CRS,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-1K-MED,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-1K-FIN,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-001-1K-XF,S-WIN-001,Shrouded Waystation,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta J..."
S-WIN-002-100-WB,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-100-CRS,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-100-MED,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-100-FIN,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-100-XF,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-200-WB,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-200-CRS,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-200-MED,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-200-FIN,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-200-XF,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-500-WB,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-500-CRS,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-500-MED,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-500-FIN,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-500-XF,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-1K-WB,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-1K-CRS,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-1K-MED,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-1K-FIN,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-002-1K-XF,S-WIN-002,Shrouded Refuge,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flore..."
S-WIN-003-100-WB,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-100-CRS,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-100-MED,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-100-FIN,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-100-XF,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-200-WB,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-200-CRS,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-200-MED,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-200-FIN,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-200-XF,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-500-WB,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-500-CRS,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-500-MED,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-500-FIN,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-500-XF,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-1K-WB,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-1K-CRS,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-1K-MED,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-003-1K-FIN,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
